,Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Results,Winning Team,Win conditions,MatchID,Home Team Initials,Away Team Initials,City Temperature
0,1930,13 Jul 1930 - 15:00 ,Group 1,Pocitos,Montevideo ,France,4,1,Mexico,H,France, ,1096,FRA,MEX,11
1,1930,13 Jul 1930 - 15:00 ,Group 4,Parque Central,Montevideo ,USA,3,0,Belgium,H,USA, ,1090,USA,BEL,11
2,1930,14 Jul 1930 - 12:45 ,Group 2,Parque Central,Montevideo ,Yugoslavia,2,1,Brazil,H,Yugoslavia, ,1093,YUG,BRA,11
3,1930,14 Jul 1930 - 14:50 ,Group 3,Pocitos,Montevideo ,Romania,3,1,Peru,H,Romania, ,1098,ROU,PER,11
4,1930,15 Jul 1930 - 16:00 ,Group 1,Parque Central,Montevideo ,Argentina,1,0,France,H,Argentina, ,1085,ARG,FRA,11
5,1930,16 Jul 1930 - 14:45 ,Group 1,Parque Central,Montevideo ,Chile,3,0,Mexico,H,Chile, ,1095,CHI,MEX,11
6,1930,17 Jul 1930 - 12:45 ,Group 2,Parque Central,Montevideo ,Yugoslavia,4,0,Bolivia,H,Yugoslavia, ,1092,YUG,BOL,11
7,1930,17 Jul 1930 - 14:45 ,Group 4,Parque Central,Montevideo ,USA,3,0,Paraguay,H,USA, ,1097,USA,PAR,11
8,1930,18 Jul 1930 - 14:30 ,Group 3,Estadio Centenario,Montevideo ,Uruguay,1,0,Peru,H,Uruguay, ,1099,URU,PER,11
9,1930,19 Jul 1930 - 12:50 ,Group 1,Estadio Centenario,Montevideo ,Chile,1,0,France,H,Chile, ,1094,CHI,FRA,11
10,1930,19 Jul 1930 - 15:00 ,Group 1,Estadio Centenario,Montevideo ,Argentina,6,3,Mexico,H,Argentina, ,1086,ARG,MEX,11
11,1930,20 Jul 1930 - 13:00 ,Group 2,Estadio Centenario,Montevideo ,Brazil,4,0,Bolivia,H,Brazil, ,1091,BRA,BOL,11
12,1930,20 Jul 1930 - 15:00 ,Group 4,Estadio Centenario,Montevideo ,Paraguay,1,0,Belgium,H,Paraguay, ,1089,PAR,BEL,11
13,1930,21 Jul 1930 - 14:50 ,Group 3,Estadio Centenario,Montevideo ,Uruguay,4,0,Romania,H,Uruguay, ,1100,URU,ROU,11
14,1930,22 Jul 1930 - 14:45 ,Group 1,Estadio Centenario,Montevideo ,Argentina,3,1,Chile,H,Argentina, ,1084,ARG,CHI,11
15,1930,26 Jul 1930 - 14:45 ,Semi-finals,Estadio Centenario,Montevideo ,Argentina,6,1,USA,H,Argentina, ,1088,ARG,USA,11
16,1930,27 Jul 1930 - 14:45 ,Semi-finals,Estadio Centenario,Montevideo ,Uruguay,6,1,Yugoslavia,H,Uruguay, ,1101,URU,YUG,11
17,1930,30 Jul 1930 - 14:15 ,Final,Estadio Centenario,Montevideo ,Uruguay,4,2,Argentina,H,Uruguay, ,1087,URU,ARG,11
18,1934,27 May 1934 - 16:30 ,Preliminary round,Stadio Benito Mussolini,Turin ,Austria,3,2,France,H,Austria,Austria win after extra time ,1104,AUT,FRA,31
19,1934,27 May 1934 - 16:30 ,Preliminary round,Giorgio Ascarelli,Naples ,Hungary,4,2,Egypt,H,Hungary, ,1119,HUN,EGY,29
20,1934,27 May 1934 - 16:30 ,Preliminary round,San Siro,Milan ,Switzerland,3,2,Netherlands,H,Switzerland, ,1133,SUI,NED,29
21,1934,27 May 1934 - 16:30 ,Preliminary round,Littorale,Bologna ,Sweden,3,2,Argentina,H,Sweden, ,1102,SWE,ARG,26
22,1934,27 May 1934 - 16:30 ,Preliminary round,Giovanni Berta,Florence ,Germany,5,2,Belgium,H,Germany, ,1108,GER,BEL,33
23,1934,27 May 1934 - 16:30 ,Preliminary round,Luigi Ferraris,Genoa ,Spain,3,1,Brazil,H,Spain, ,1111,ESP,BRA,30
24,1934,27 May 1934 - 16:30 ,Preliminary round,Nazionale PNF,Rome ,Italy,7,1,USA,H,Italy, ,1135,ITA,USA,29
25,1934,27 May 1934 - 16:30 ,Preliminary round,Littorio,Trieste ,Czech Republic,2,1,Romania,H,Czech Republic, ,1141,TCH,ROU,26
26,1934,31 May 1934 - 16:30 ,Quarter-finals,Stadio Benito Mussolini,Turin ,Czech Republic,3,2,Switzerland,H,Czech Republic, ,1143,TCH,SUI,31
27,1934,31 May 1934 - 16:30 ,Quarter-finals,San Siro,Milan ,Germany,2,1,Sweden,H,Germany, ,1129,GER,SWE,29
28,1934,31 May 1934 - 16:30 ,Quarter-finals,Giovanni Berta,Florence ,Italy,1,1,Spain,D,Draw, ,1122,ITA,ESP,33
29,1934,31 May 1934 - 16:30 ,Quarter-finals,Littorale,Bologna ,Austria,2,1,Hungary,H,Austria, ,1106,AUT,HUN,26
30,1934,01 Jun 1934 - 16:30 ,Quarter-finals,Giovanni Berta,Florence ,Italy,1,0,Spain,H,Italy, ,1123,ITA,ESP,33
31,1934,03 Jun 1934 - 16:30 ,Semi-finals,San Siro,Milan ,Italy,1,0,Austria,H,Italy, ,1107,ITA,AUT,29
32,1934,03 Jun 1934 - 16:30 ,Semi-finals,Nazionale PNF,Rome ,Czech Republic,3,1,Germany,H,Czech Republic, ,1130,TCH,GER,29
33,1934,07 Jun 1934 - 18:00 ,Match for third place,Giorgio Ascarelli,Naples ,Germany,3,2,Austria,H,Germany, ,1105,GER,AUT,29
34,1934,10 Jun 1934 - 17:30 ,Final,Nazionale PNF,Rome ,Italy,2,1,Czech Republic,H,Italy,Italy win after extra time ,1134,ITA,TCH,29
35,1938,04 Jun 1938 - 17:00 ,First round,Parc des Princes,Paris ,Switzerland,1,1,Germany,D,Draw, ,1165,SUI,GER,25
36,1938,05 Jun 1938 - 17:00 ,First round,Velodrome Municipale,Reims ,Hungary,6,0,Dutch East Indies,H,Hungary, ,1173,HUN,INH,20
37,1938,05 Jun 1938 - 17:00 ,First round,Stade Olympique,Colombes ,France,3,1,Belgium,H,France, ,1146,FRA,BEL,25
38,1938,05 Jun 1938 - 17:00 ,First round,Stade Municipal,Toulouse ,Cuba,3,3,Romania,D,Draw, ,1156,CUB,ROU,30
39,1938,05 Jun 1938 - 17:00 ,First round,Stade V�lodrome,Marseilles ,Italy,2,1,Norway,H,Italy,Italy win after extra time ,1179,ITA,NOR,25
40,1938,05 Jun 1938 - 17:30 ,First round,Stade de la Meinau,Strasbourg ,Brazil,6,5,Poland,H,Brazil,Brazil win after extra time ,1150,BRA,POL,23
41,1938,05 Jun 1938 - 18:30 ,First round,Cavee Verte,Le Havre ,Czech Republic,3,0,Netherlands,H,Czech Republic,Czech Republic win after extra time ,1172,TCH,NED,18
